Player,Nation,From,To,Price
Lukas Jensen,Denmark,Burnley,Lincoln,0.0
N'Golo Kanté,France,Chelsea,Al-Ittihad,0.0
Christopher Nkunku,France,RB Leipzig,Chelsea,60.0
Will Tizzard,England,Southampton,Queen's,0.0
Matt Smith,England,Arsenal,Wigan,0.0
Tom Bloxham,Ireland,Tottenham,Blackburn,0.0
Will Norris,England,Burnley,Portsmouth,0.0
Charlie Hayes-Green,England,Liverpool,Bolton Wanderers,0.0
Daniel Quick,England,C. Palace,Eastbourne Borough,0.0
Harry Barclay,England,Newcastle Utd.,AFC Blyth,0.0
Dejan Kulusevski,Sweden,Juventus,Tottenham,30.0
Ziyad Larkeche,France,Fulham,QPR,0.0
Will Brook,England,Leeds United,Nottingham,0.0
Yankuba Minteh,Gambia,Odense,Newcastle Utd.,8.0
Kevin Schade,Germany,SC Freiburg,Brentford,25.0
Youri Tielemans,Belgium,Leicester,Aston Villa,0.0
Isaac Price,Northern Ireland,Everton,Standard,0.0
Naby Keïta,Guinea,Liverpool,Werder,0.0
Shane Duffy,Ireland,Fulham,Norwich,0.0
Terrell Agyemang,England,Man City,Middlesbrough,0.0
Michael Agboola,England,Wolverhampton,Hullbridge Sports FC,0.0
Jack Scott,Northern Ireland,Wolverhampton,Linfield,0.0
Paulo Gazzaniga,Argentina,Fulham,Girona,0.0
Jack Butland,England,C. Palace,Rangers,0.0
Jefferson Lerma,Colombia,B'mouth,C. Palace,0.0
Nicky Hogarth,Scotland,Nottingham,Falkirk,0.0
Roco Rees,England,Brentford,Worthing FC,0.0
Dujon Sterling,England,Chelsea,Rangers,0.0
Josh Neufville,United States,Luton,Wimbledon,0.0
Josh Williams,Wales,Luton,Hemel Hempstead Town,0.0
Lachlan Brook,Australia,Brentford,West Sydney,0.0
Lewis Salmon,England,Nottingham,Alfreton Town,0.0
Joseph Peter McFlynn,England,Burnley,Hamilton,0.0
Joel Coleman,England,Ipswich Town,Bolton Wanderers,0.0
Niels Nkounkou,France,Everton,Saint-Etienne,2.0
Jack Stacey,England,B'mouth,Norwich,0.0
Mark Flekken,Netherlands,SC Freiburg,Brentford,13.0
Michael Obafemi,Ireland,Swansea,Burnley,4.0
Ashley Barnes,England,Burnley,Norwich,0.0
Chris Wood,New Zealand,Newcastle Utd.,Nottingham,17.0
Jordan Beyer,Germany,Gladbach,Burnley,15.0
Alex Matos,England,Norwich,Chelsea,0.0
Hamed Junior Traoré,Cote d'Ivoire,Sassuolo,B'mouth,25.6
Pablo Marí,Spain,Arsenal,Monza,6.2
Arthur Masuaku,Congo DR,West Ham United,Besiktas,2.0
Jordan Zemura,Zimbabwe,B'mouth,Udinese,0.0
Sylvester Jasper,Bulgaria,Fulham,Portimonense,0.0
Pedro Porro,Spain,Sporting CP,Tottenham,40.0
